Customer ID,Invoice,InvoiceDate,order_value,is_canceled,total_items,log_items,n_lines,n_category,country,canceled_value
12346,499763,2010-03-02,27.05,0,5,3.4657359027997265,5,2,United Kingdom,0.0
12346,513774,2010-06-28,142.31,0,19,13.16979643063896,19,3,United Kingdom,0.0
12346,541431,2011-01-18,201.6,0,144,4.976733742420574,1,1,United Kingdom,0.0
12346,C541433,2011-01-18,-77183.6,1,-74215,0.0,1,1,United Kingdom,77183.6
12347,529924,2010-10-31,611.53,0,509,99.42250925649097,40,6,Iceland,0.0
12347,537626,2010-12-07,711.79,0,319,69.88185338054333,31,5,Iceland,0.0
12347,542237,2011-01-26,475.39,0,315,66.33997044198586,29,7,Iceland,0.0
12347,549222,2011-04-07,588.25,0,387,57.15657183867758,24,8,Iceland,0.0
12347,556201,2011-06-09,382.52,0,196,40.90140444429535,18,4,Iceland,0.0
12347,562032,2011-08-02,584.91,0,277,52.41243013847504,22,5,Iceland,0.0
12347,573511,2011-10-31,1294.32,0,676,121.7136371480074,47,8,Iceland,0.0
12347,581180,2011-12-07,224.82,0,192,31.27146565575262,11,6,Iceland,0.0
12348,524140,2010-09-27,221.15999999999997,0,372,56.581155400649166,19,4,Finland,0.0
12348,539318,2010-12-16,652.8,0,1248,66.95761132751574,16,3,Finland,0.0
12348,541998,2011-01-25,187.44,0,600,23.125810794550496,5,2,Finland,0.0
12348,548955,2011-04-05,327.0,0,268,16.304142012047635,4,3,Finland,0.0
12348,568172,2011-09-25,270.0,0,216,9.370501524100124,2,2,Finland,0.0
12349,506394,2010-04-29,1068.52,0,473,101.70091791049194,46,9,Italy,0.0
12349,529344,2010-10-28,1152.6200000000001,0,518,111.40598065593001,54,9,Italy,0.0
12349,577609,2011-11-21,1457.55,0,630,148.73813521140235,72,10,Italy,0.0
12349,C490283,2009-12-04,-24.15,1,-5,0.0,5,2,Italy,24.15
12350,543037,2011-02-02,294.40000000000003,0,196,40.90702289372186,16,6,Norway,0.0
12351,536012,2010-11-29,300.93,0,261,49.7117473899044,21,4,Unspecified,0.0
